Kind,Name,CountLineCode,Cyclomatic,RatioCommentToCode
File,"CrumbFilter.java",147,,"0.18"
File,"CrumbIssuer.java",134,,"0.47"
File,"CrumbIssuerDescriptor.java",31,,"0.97"
File,"CryptoConfidentialKey.java",89,,"0.47"
File,"CryptoConfidentialKeyTest.java",27,,"0.04"
File,"CustomClassFilter.java",88,,"0.81"
File,"CustomClassFilterTest.java",59,,"0.41"
File,"CustomPluginManagerTest.java",93,,"0.30"
File,"CustomRoutingDecisionProviderTest.java",82,,"0.28"
File,"CyclicGraphDetector.java",51,,"0.37"
File,"CyclicGraphDetectorTest.java",68,,"0.09"
File,"DCOMSandbox.java",50,,"0.38"
File,"DNSMultiCast.java",8,,"0.38"
File,"DOSToUnixPathHelper.java",70,,"0.06"
File,"DaemonThreadFactory.java",18,,"1.56"
File,"DailyCheck.java",57,,"0.60"
File,"DataAccessException.java",15,,"1.73"
File,"DataAccessResourceFailureException.java",10,,"2.60"
File,"DataRetrievalFailureException.java",10,,"2.60"
File,"DataSetBuilder.java",30,,"1.20"
File,"DateConversionTest.java",33,,"0.94"
File,"DecodingStream.java",19,,"1.53"
File,"DefaultConfidentialStore.java",105,,"0.36"
File,"DefaultConfidentialStoreTest.java",38,,"0.18"
File,"DefaultCrumbIssuer.java",115,,"0.11"
File,"DefaultCrumbIssuerTest.java",268,,"0.12"
File,"DefaultGlobalSettingsProvider.java",23,,"0.22"
File,"DefaultJnlpSlaveReceiver.java",190,,"0.09"
File,"DefaultMyViewsTabBar.java",16,,"1.94"
File,"DefaultSCMCheckoutStrategyImpl.java",22,,"0.14"
File,"DefaultSettingsProvider.java",23,,"0.22"
File,"DefaultSimplePageDecorator.java",5,,"5.80"
File,"DefaultUserCanonicalIdResolver.java",30,,"1.03"
File,"DefaultViewsTabBar.java",16,,"1.94"
File,"DelegatingComputerLauncher.java",57,,"0.77"
File,"DelegatingComputerLauncherTest.java",46,,"0.11"
File,"DelegatingOutputStream.java",33,,"0.85"
File,"DeleteBuildsCommand.java",36,,"0.81"
File,"DeleteBuildsCommandTest.java",252,,"0.10"
File,"DeleteJobCommand.java",48,,"0.58"
File,"DeleteJobCommandTest.java",135,,"0.19"
File,"DeleteNodeCommand.java",46,,"0.61"
File,"DeleteNodeCommandTest.java",128,,"0.20"
File,"DeleteViewCommand.java",54,,"0.52"
File,"DeleteViewCommandTest.java",186,,"0.15"
File,"DependecyDeclarer.java",4,,"6.75"
File,"DependencyDeclarer.java",11,,"4.64"
File,"DependencyGraph.java",262,,"0.55"
File,"DependencyGraphTest.java",122,,"0.39"
File,"DependencyRunner.java",52,,"0.60"
File,"Describable.java",4,,"9.25"
File,"DescribableList.java",184,,"0.53"
File,"DescribableListTest.java",57,,"0.40"
File,"Descriptor.java",651,,"0.65"
File,"DescriptorByNameOwner.java",7,,"6.43"
File,"DescriptorExtensionList.java",155,,"0.67"
File,"DescriptorList.java",94,,"1.26"
File,"DescriptorTest.java",190,,"0.12"
File,"DescriptorVisibilityFilter.java",114,,"0.49"
File,"DescriptorVisibilityFilterTest.java",106,,"0.01"
File,"DetachedPluginsUtil.java",121,,"0.69"
File,"DetachedPluginsUtilTest.java",54,,"0.09"
File,"DiagnosedStreamCorruptionException.java",40,,"0.15"
File,"DirScanner.java",135,,"0.31"
File,"DirScannerTest.java",61,,"0.48"
File,"DirectedGraph.java",88,,"0.52"
File,"DirectlyModifiableTopLevelItemGroup.java",10,,"5.00"
File,"DirectlyModifiableView.java",13,,"4.31"
File,"DirectlyModifiableViewTest.java",141,,"0.17"
File,"DirectoryBrowserSupport.java",576,,"0.32"
File,"DirectoryBrowserSupportTest.java",1021,,"0.21"
File,"DisablePluginCommand.java",141,,"0.50"
File,"DisablePluginCommandTest.java",243,,"0.44"
File,"DisabledException.java",20,,"1.30"
File,"DisconnectNodeCommand.java",58,,"0.48"
File,"DisconnectNodeCommandTest.java",212,,"0.12"
File,"DiskSpaceMonitor.java",43,,"0.72"
File,"DiskSpaceMonitorDescriptor.java",96,,"0.69"
File,"DiskSpaceMonitorDescriptorTest.java",48,,"0.15"
File,"DisplayNameListener.java",37,,"1.27"
File,"DisplayNameListenerTest.java",41,,"0.63"
File,"DisplayNameTest.java",66,,"0.41"
File,"DoActionFilter.java",80,,"0.46"
File,"DoActionFilterTest.java",519,,"0.11"
File,"DomainValidator.java",1866,,"1.03"
File,"DomainValidatorTest.java",498,,"0.25"
File,"DotNet.java",165,,"0.22"
File,"DoubleLaunchChecker.java",94,,"0.80"
File,"DownloadFromUrlInstaller.java",136,,"0.76"
File,"DownloadService.java",283,,"0.67"
File,"DownloadService2Test.java",35,,"0.71"
File,"DownloadServiceTest.java",98,,"0.06"
File,"DropdownListTest.java",33,,"0.09"
File,"DualOutputStream.java",35,,"0.74"
File,"DumbSlave.java",43,,"0.88"
File,"DynaTagWithStringProperty.java",34,,"0.03"
File,"DynamicTest.java",60,,"0.00"
File,"EditDistance.java",53,,"0.91"
File,"EditType.java",27,,"1.04"
File,"EmptyChangeLogSet.java",23,,"0.26"
File,"EnableJobCommandTest.java",20,,"1.15"
File,"EnablePluginCommand.java",61,,"0.49"
File,"EnablePluginCommandTest.java",106,,"0.22"
File,"EncodingStream.java",15,,"2.07"
File,"EncryptedSlaveAgentJnlpFile.java",110,,"0.31"
File,"EnumConverter.java",8,,"3.38"
File,"EnumSetTest.java",49,,"0.06"
File,"EnumTest.java",66,,"0.00"
File,"EnvVars.java",243,,"0.74"
File,"EnvVarsFilterException.java",42,,"0.67"
File,"EnvVarsFilterGlobalConfiguration.java",48,,"0.62"
File,"EnvVarsFilterGlobalRule.java",21,,"1.76"
File,"EnvVarsFilterLocalRule.java",14,,"2.21"
File,"EnvVarsFilterLocalRuleDescriptor.java",20,,"1.50"
File,"EnvVarsFilterRule.java",22,,"1.41"
File,"EnvVarsFilterRuleContext.java",21,,"1.33"
File,"EnvVarsFilterRuleWrapper.java",47,,"0.60"
File,"EnvVarsFilterableBuilder.java",13,,"2.69"
File,"EnvVarsInConfigTasksTest.java",82,,"0.11"
File,"EnvVarsSlaveInfo.java",16,,"0.19"
File,"EnvVarsTest.java",117,,"0.23"
File,"Environment.java",25,,"3.24"
File,"EnvironmentContributingAction.java",26,,"2.15"
File,"EnvironmentContributingActionTest.java",102,,"0.12"
File,"EnvironmentContributor.java",30,,"3.43"
File,"EnvironmentContributorTest.java",29,,"0.14"
File,"EnvironmentList.java",36,,"0.81"
File,"EnvironmentSpecific.java",6,,"6.00"
File,"EnvironmentVariableNodePropertyTest.java",114,,"0.22"
File,"EnvironmentVariablesNodeProperty.java",76,,"0.50"
File,"EphemeralNode.java",5,,"6.20"
File,"ErrorLoggingScheduledThreadPoolExecutor.java",46,,"0.67"
File,"ErrorObject.java",21,,"1.48"
File,"EscapedMarkupFormatter.java",25,,"1.16"
File,"ExceptionAnnotationTest.java",27,,"0.22"
File,"ExceptionCatchingThreadFactory.java",25,,"1.20"
